SE,NewKPI1,NewKPI2,NewKPI3,KPI0012,KPI0017,KPI0068,KPI0077,KPI0116,KPI3226,TS,SI,IT,TSI,MarketArea,ReportYearNumber
0.056807493,294.2986279,73.58931322,7.379694631,0.695978936,391.0148814,49.66666667,108147.1667,101.0541667,0.198314107,21657.23391,543.0666597,2171.834004,159823.7728,Ford - Northeast,2009
0.67884131,396.91,56.54,66.17,0.65494903,481.2843613,71.66666667,150325.25,61.57344633,0.169528346,22441.2914,3741.2518,26263.5347,1484940.252,Ford - Northeast,2010
0.856647399,331.77,70.8,71.38,0.644482941,497.69964,91.25,185754.5,73.88381743,0.146143205,23489.316,5053.704,23681.7426,1676667.376,Ford - Northeast,2011
0.684210526,328.98,58.28,74.73,0.643961984,543.2317644,99.25,202181.5833,77.51910112,0.140795502,19172.9544,4355.2644,24584.6754,1432794.882,Ford - Northeast,2012
1.146689746,-92.85064693,113.1071933,-46.01439724,0.852222307,542.4618156,8.666666667,17912.91667,36.66666667,0.140569331,-10502.07607,-5204.559323,4272.466552,483246.7001,Ford - West,2008
2.216422662,289.1332329,138.0635184,49.74503015,0.794766621,558.4058577,8,16972.41667,49.27160494,0.153513029,39918.75142,6867.973885,14382.94139,1985759.493,Ford - West,2009
1.816326531,-471.08,96.84,24.02991313,0.750175837,651.3333333,9,24028.66667,22.86170213,0.145960479,-45619.3872,2327.056788,-11320.01148,-1096229.911,Ford - West,2010
1.939393939,-574.88,126.96,122.7456861,0.647123086,717.9871176,12.16666667,29990.75,52.54954955,0.130949653,-72986.7648,15583.79231,-70564.04003,-8958810.522,Ford - West,2011
1.789473684,-861.14,115.26,177.7741232,0.623468785,749.240894,12.91666667,37189.16667,43.65354331,0.133525668,-99254.9964,20490.24544,-153088.4085,-17644969.96,Ford - West,2012
0.35853286,667.8347815,290.9142478,55.55705367,0.836470944,168.7877278,23.75,35891.25,93.02013423,0.159322465,194282.6531,16162.33848,37102.9328,10793771.79,Ford - Great Lakes,2008
1.081764288,351.8418723,132.0806763,71.91221123,0.734191062,187.3861753,19.91666667,34692.75,84.10958904,0.154500894,46471.51244,9498.213493,25301.72704,3341869.219,Ford - Great Lakes,2009
0.793522267,385.1,59.11,41.17,0.637409711,196.5756843,21.91666667,42029.91667,78.82432432,0.151705861,22763.261,2433.5587,15854.567,937163.4554,Ford - Great Lakes,2010
0.844444444,397.53,72.23,47.17,0.639970004,234.4729427,25.75,55527.41667,71.11299435,0.142862179,28713.5919,3407.0891,18751.4901,1354420.13,Ford - Great Lakes,2011
0.919254658,443.59,66.88,40.25,0.684372124,235.481717,31.16666667,59652.66667,65.18518519,0.128355308,29667.2992,2691.92,17854.4975,1194108.793,Ford - Great Lakes,2012
1.884398791,882.4069628,200.1067588,12.33398202,0.638809114,166.4032539,8,13363.5,54.35294118,0.185841027,176575.5973,2468.113165,10883.59161,2177880.242,Ford - Great Lakes,2008
1.227239349,-59.88123241,76.60565164,21.22482012,0.652522989,165.3068818,7,11759.33333,85.55737705,0.171046914,-4587.24083,1625.941176,-1270.968386,-97363.36146,Ford - Great Lakes,2009
0.656,173.29,70.08,41.67,0.558852264,186.3641892,7.583333333,13103.16667,66.12307692,0.179456323,12144.1632,2920.2336,7220.9943,506047.2805,Ford - Great Lakes,2010
0.825396825,177.78,76.27,33.5,0.602851888,236.182266,8.75,17155,80.08695652,0.175081681,13559.2806,2555.045,5955.63,454235.9001,Ford - Great Lakes,2011
0.874213836,176.88,75.75,39.75,0.571441629,221.3233305,11.83333333,25267.75,79.48387097,0.152218302,13398.66,3011.0625,7030.98,532596.735,Ford - Great Lakes,2012
1.246835736,34.28082487,140.1012961,59.04815445,1.000097669,90.79475789,4.25,6315.333333,42,0.12287957,4802.787996,8272.722971,2024.219442,283595.7674,Ford - Central,2008
0.703485429,-139.7329462,1.470728895,77.22769152,1.107072919,76.04729422,2.083333333,3504.833333,139.5454545,0.120602013,-205.5092816,113.5809974,-10791.25286,-15871.0074,Ford - Central,2009
0.208333333,22.56,32.95,48,1.088782259,92.52160804,3.25,5882,72.23529412,0.130851105,743.352,1581.6,1082.88,35680.896,Ford - Central,2010
0.303030303,23.97,33.95,57.33,0.975411407,122.2885154,4.833333333,9316.5,53.13461538,0.102560647,813.7815,1946.3535,1374.2001,46654.0934,Ford - Central,2011
0.293785311,50.01,43.31,59,0.997643301,110.1343195,4.666666667,11328.75,116.3555556,0.113359806,2165.9331,2555.29,2950.59,127790.0529,Ford - Central,2012
0.218943704,715.2870024,20.27458749,100.1170284,0.825325687,326.3908318,7.25,15022,80.08,0.135880841,14502.14891,2029.831452,71612.40913,1451912.054,Ford - Great Lakes,2008
2.33068716,761.0726933,64.57673437,69.833661,0.773887211,363.7477341,8.333333333,13560.33333,70.17142857,0.122600044,49147.58915,4509.629776,53148.49246,3432156.08,Ford - Great Lakes,2009
1.416666667,446.6,95.6,28,0.798612651,423.8995111,10.5,16983.58333,48.9893617,0.103522679,42694.96,2676.8,12504.8,1195458.88,Ford - Great Lakes,2010
1.327586207,355.53,123.73,59,0.730627223,426.7526824,12.91666667,23171.41667,74.51456311,0.10925545,43989.7269,7300.07,20976.27,2595393.887,Ford - Great Lakes,2011
0.771428571,217.67,71.26,105,0.859275826,483.0098209,14.16666667,25157.66667,68.70769231,0.099614675,15511.1642,7482.3,22855.35,1628672.241,Ford - Great Lakes,2012
0.735785717,-213.8254148,132.8430183,75.62647304,0.820638533,345.2664609,7.583333333,10671.58333,84,0.199763482,-28405.21349,10046.44894,-16170.86197,-2148186.112,Ford - Great Lakes,2008
1.128256795,477.2149302,314.8055973,7.722009054,0.738327998,331.6048,6.666666667,9733.083333,59.03846154,0.212976179,150229.9311,2430.931673,3685.058012,1160076.888,Ford - Great Lakes,2009
